title,url,videos,articles,problems,mcqs,category,tab
Introduction,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Java-Basics-jtp-2,5 Videos,3 Articles,3 Problems,10 MCQ's,Programming Language,Java
Variables and Data Types,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Data-Types-2,6 Videos,6 Articles,4 Problems,10 MCQ's,Programming Language,Java
Input and Output in Java,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2,3 Videos,3 Articles,9 Problems,10 MCQ's,Programming Language,Java
Operators,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Operators-2,8 Videos,8 Articles,10 Problems,10 MCQ's,Programming Language,Java
Flow Control,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Flow-Control-2,6 Videos,6 Articles,9 Problems,10 MCQ's,Programming Language,Java
Loops,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Loops-2,17 Videos,19 Articles,21 Problems,10 MCQ's,Programming Language,Java
Functions,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Functions-2,5 Videos,5 Articles,5 Problems,10 MCQ's,Programming Language,Java
Array,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Array-2,9 Videos,10 Articles,15 Problems,10 MCQ's,Programming Language,Java
String,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-String-2,12 Videos,11 Articles,17 Problems,10 MCQ's,Programming Language,Java
Classes and Objects,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Classes-Objects-2,6 Videos,6 Articles,4 Problems,10 MCQ's,Programming Language,Java
OOP,https://www.geeksforgeeks.org/batch/dsa-jiit/track/placement100-oops-java-2,14 Videos,11 Articles,4 Problems,20 MCQ's,Programming Language,Java
"Exception Handling, Multithreading and File I/O",https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Advance-2,17 Videos,15 Articles,11 Problems,10 MCQ's,Programming Language,Java
"DSA - What, Why and How ?",https://www.geeksforgeeks.org/batch/dsa-jiit/track/DSASP-intro-and-roadmap,2 Videos,,,,Foundation of DSA,Analysis of Algorithms
Analysis of Algorithms : Recorded Content,https://www.geeksforgeeks.org/batch/dsa-jiit/track/analysis-of-algo-videos-college,15 Videos,,,,Foundation of DSA,Analysis of Algorithms
Analysis of Algorithms : Articles,https://www.geeksforgeeks.org/batch/dsa-jiit/track/analysis-of-algo-notes-college,,11 Articles,,,Foundation of DSA,Analysis of Algorithms
Analysis of Algorithms : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-analysis-of-algorithm-ct,,,,10 MCQ's,Foundation of DSA,Analysis of Algorithms
Arrays : Recorded Content,https://www.geeksforgeeks.org/batch/dsa-jiit/track/arrays-videos-college-training,31 Videos,,,,Foundation of DSA,Arrays
Arrays : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/arrays-notes-college-training,,27 Articles,,,Foundation of DSA,Arrays
Arrays : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/arrays-test-skills-college-training,,,5 Problems,,Foundation of DSA,Arrays
Arrays : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/arrays-practice-problems-college-training,,,3 Problems,,Foundation of DSA,Arrays
Arrays : Quiz,https://www.geeksforgeeks.org/batch/dsa-jiit/track/quiz-arrays-ct,,,,10 MCQ's,Foundation of DSA,Arrays
Matrix : Recorded Content,https://www.geeksforgeeks.org/batch/dsa-jiit/track/matrix-videos-college-training,12 Videos,,,,Foundation of DSA,Matrix
Matrix : Article,https://www.geeksforgeeks.org/batch/dsa-jiit/track/matrix-notes-college-training,,11 Articles,,,Foundation of DSA,Matrix
Matrix : Class Room Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/matrix-practice-college-training,,,4 Problems,,Foundation of DSA,Matrix
Matrix : Home Work Problems,https://www.geeksforgeeks.org/batch/dsa-jiit/track/matrix-problems-college-training,,,3 Problems,,Foundation of DSA,Matrix
