type,title,url,meta
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-exception-handling/quiz/NDA1Mjc=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-exception-handling/quiz/NDA1Mjg=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/foundation-cpp-exception-handling/quiz/NDA1Mjk=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/quiz/NDA3NzY=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/quiz/NDA3Nzc=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/quiz/NDA3Nzg=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/quiz/NDA3Nzk=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/quiz/NDA3ODA=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/quiz/NDA3ODE=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/quiz/NDA3ODI=,
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/quiz/NDA3ODM=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/quiz/NDA3ODQ=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/cpp-foundation-advanced-2/quiz/NDA3ODU=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Java-Basics-jtp-2/quiz/NDAwNjg=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Java-Basics-jtp-2/quiz/NDAwNjk=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Java-Basics-jtp-2/quiz/NDAwNzA=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Java-Basics-jtp-2/quiz/NDAwNzE=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Java-Basics-jtp-2/quiz/NDAwNzI=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Java-Basics-jtp-2/quiz/NDAwNzM=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Java-Basics-jtp-2/quiz/NDAwNzQ=,
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Java-Basics-jtp-2/quiz/NDAwNzU=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Java-Basics-jtp-2/quiz/NDAwNzY=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Java-Basics-jtp-2/quiz/NDAwNzc=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/quiz/NDAwOTA=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/quiz/NDAwOTE=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/quiz/NDAwOTI=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/quiz/NDAwOTM=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/quiz/NDAwOTQ=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/quiz/NDAwOTU=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/quiz/NDAwOTY=,
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/quiz/NDAwOTc=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/quiz/NDAwOTg=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-IO-2/quiz/NDAwOTk=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Operators-2/quiz/NDAxMDA=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Operators-2/quiz/NDAxMDE=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Operators-2/quiz/NDAxMDI=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Operators-2/quiz/NDAxMDM=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Operators-2/quiz/NDAxMDQ=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Operators-2/quiz/NDAxMDY=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Operators-2/quiz/NDAxMDc=,
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Operators-2/quiz/NDAxMDg=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Operators-2/quiz/NDAxMDk=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Operators-2/quiz/NDAxMTA=,
quiz,Question1,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Flow-Control-2/quiz/NDAxMTE=,
quiz,Question2,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Flow-Control-2/quiz/NDAxMTI=,
quiz,Question3,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Flow-Control-2/quiz/NDAxMTM=,
quiz,Question4,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Flow-Control-2/quiz/NDAxMTQ=,
quiz,Question5,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Flow-Control-2/quiz/NDAxMTU=,
quiz,Question6,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Flow-Control-2/quiz/NDAxMTY=,
quiz,Question7,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Flow-Control-2/quiz/NDAxMTc=,
quiz,Question8,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Flow-Control-2/quiz/NDAxMTg=,
quiz,Question9,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Flow-Control-2/quiz/NDAxMTk=,
quiz,Question10,https://www.geeksforgeeks.org/batch/dsa-jiit/track/Java-Foundation-Flow-Control-2/quiz/NDAxMjA=,
